Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000000;42.8941101409885;31.4643299625428;53.1968866079494;36.2613499036838;8.97616797733735
2;794330;47.3318823126892;25.2462238938575;53.6440015673797;28.0748932385436;10.5861979732724
3;630960;49.3137829412429;19.8839354595979;53.1716096929318;21.9599099917663;12.2062249691822
4;501190;50.5778821587725;15.5611200997312;52.9175833010629;17.1013782952001;14.0012599646502
5;398110;51.0972871213558;12.1153705196712;52.5139500893924;13.3387381929997;15.6312899605348
6;316230;51.177687998261;9.54270659089267;52.059763713709;10.562204868625;18.3763409536042
7;251190;50.9336993660994;7.72318408984289;51.5159131104341;8.62219867502212;21.6864049452471
8;199530;50.7429342337769;6.60703060116147;51.1712636937773;7.41851427553466;22.9414259420785
9;158490;50.5909570402655;5.9893374216875;50.9442547987584;6.75167874323679;24.3014539386447
10;125890;50.5562388702502;5.77527176895539;50.8850376113754;6.51691090984992;25.70147493511
11;100000;50.6457218688509;5.87629804288491;50.9854883501748;6.61829433555719;28.1265229289874
12;79433;50.874690729655;6.25529998396342;51.2578085244328;7.00962285118631;29.3665449258566
13;63096;51.244230720773;6.85400270525823;51.7005661018088;7.61819372428075;30.8515719221073
14;50119;51.7485188008036;7.67801987477646;52.315018754413;8.43950662437854;32.3465999183327
15;39811;52.416107605551;8.68928228915564;53.1314592611321;9.41260925370606;33.8016299146591
16;31623;53.2083194928037;9.91114180151544;54.1235253384148;10.5515890531252;35.3416539107709
17;25119;54.1348883284637;11.3311389317421;55.3080540592929;11.822077363993;36.6416779074887
18;19953;55.1688386972778;12.9851666049106;56.6764088044007;13.2447153169834;37.976703904118
19;15849;56.2703831321818;14.9230688701688;58.2155821266638;14.8530890825649;40.2317458984246
20;12589;57.4720229221558;17.2431861847759;60.0030073293634;16.7006886863998;43.1868018909638
21;10000;58.728137506905;20.0330189247868;62.0509144354119;18.8352527584386;45.4718438851946
22;7943.3;60.1292899300905;23.4630176929972;64.5449045762621;21.3161996103912;46.9018708815842
23;6309.6;61.6512995528897;27.6493169425537;67.5675030169824;24.1552355820663;48.3818968778475
24;5011.9;63.3418644499473;32.7707427002897;71.3169921486043;27.3553771084366;49.8669238740981
25;3981.1;65.2453827009004;39.0433944780272;76.035166969987;30.8966626166625;51.2269498706644
26;3162.3;67.3778905664927;46.7360910515116;82.0002581945048;34.7467765009555;52.6019728671928
27;2511.9;69.82464794795;56.168069465448;89.6121280214377;38.8137583459387;54.0769998634687
28;1995.3;72.6625983257851;67.7561914182406;99.3516717069202;42.9988284437347;55.5120268598456
29;1584.9;75.9906796441377;82.0181028007278;111.810342007386;47.1845529189969;58.297079852814
30;1258.9;79.9447601180621;99.504485801;127.641323108372;51.2206051668931;59.587103849557
31;1000;84.7173302199339;120.971073695899;147.685567035956;54.9960362792181;61.0221288459339
32;794.33;90.5175967811665;147.291123319003;172.8817813872;58.427241563843;62.4871588422351
33;630.96;97.6070248008697;179.539060763499;204.35607558944;61.4691343580615;63.9821848384605
34;501.19;106.335676484837;219.036428591898;243.483537726438;64.104804879315;66.3572288324641
35;398.11;117.114829799236;267.307186862022;291.837309998211;66.3404161777197;68.5872698268338
36;316.23;130.501676980367;326.301181672762;351.43014790386;68.2014357140874;70.8823138210394
37;251.19;147.170506050546;398.317077843964;424.635905633671;69.7216973982812;73.2273588151187
38;199.53;167.950154243199;487.024640928417;515.170122563186;70.973277053467;77.2674338049185
39;158.49;193.800467859535;593.973983220544;624.79093630226;71.9296499797343;78.5874538015858
40;125.89;225.945271421378;723.982958207137;758.421116169663;72.6675644978118;80.1574837976218
41;100;265.805397760617;881.936377603595;921.12121005828;73.227802287746;82.5975337914613
42;79.433;315.860656070477;1072.99018770864;1118.51504101299;73.5969301656843;84.0175557878761
43;63.096;379.986055388271;1302.63594473982;1356.92660332744;73.7377453410959;86.397599781867
44;50.119;453.868457376697;1585.60347849381;1649.28316780751;74.0265824539297;87.8276277782566
45;39.811;548.222356580484;1926.55004667215;2003.03340825537;74.1156769400066;96.8827927553945
46;31.623;664.295686987053;2337.82266605257;2430.37107818101;74.1374243967794;99.4628437488805
47;25.119;805.891073997631;2828.41792999429;2940.98765891023;74.09634578368;101.042869744891
48;19.953;979.607479199233;3426.02634909408;3563.32532306412;74.0431198168708;103.897924737683
49;15.849;1190.92235549727;4145.73637353476;4313.40076223764;73.9725272625088;105.772959732949
50;12.589;1444.70300895039;5006.94384105807;5211.20460273627;73.9050395485686;109.56303072338
51;10;1756.71552823041;6049.75100232194;6299.64575489933;73.807857185705;111.808070717712
52;7.9433;2142.65987559073;7305.32450421856;7613.06491857272;73.6535278070224;114.198115711677
53;6.3096;2582.07130337076;8822.94420119668;9193.01020303583;73.6876658752202;117.728179702765
